mex_cpi,year
44.30352583,2000
46.54675167,2001
48.29358333,2002
50.96648917,2003
54.64464583,2004
57.57696917,2005
59.68271833,2006
63.634255,2007
68.82034333,2008
74.8892625,2009
77.365375,2010
80.73835167,2011
87.29627667,2012
91.81143917,2013
96.163875,2014
99.99999583,2015
104.4696667,2016
111.7470333,2017
117.1061417,2018
122.2450083,2019
130.3394583,2020
139.7643917,2021
152.9267833,2022
