,area,percentDiffFromAvg_y,year,percentPrevYearExp,pop,adj_r2,f_pvalue
0,Afghanistan,1.783027312,0.029920836,-3.274385674,-3.55E-05,-0.041900253,0.530011881
1,Albania,0.428624102,0.029738871,-0.255352261,-0.00029017,0.242821298,0.000918016
2,Algeria,0.79001288,0.290325458,0.493534652,-0.000536156,0.375596822,5.37E-06
3,Angola,1.515895292,-0.021798976,0.461155682,-7.00E-06,0.566283048,6.61E-09
4,Antigua and Barbuda,-0.128330763,0.027869931,-0.572426718,-0.064444655,0.167442712,0.061476281
5,Argentina,-1.816238243,-1.364280758,1.203318805,0.003164482,0.126746796,0.022619782
6,Armenia,0.058829031,-0.381029598,0.659478796,-0.017678166,0.050723508,0.290226435
7,Australia,-0.346055567,0.079488863,1.83932545,-0.000341848,0.125459421,0.029446008
8,Austria,-0.150893134,0.049765761,-0.692735732,-0.000162499,0.561050118,5.46E-10
9,Azerbaijan,-2.195856674,0.89521216,-0.887395312,-0.008295495,0.137189739,0.140687587
10,Bahamas,0.475505278,0.195972752,-0.831971766,-0.043915564,0.032096115,0.223632247
11,Bahrain,-0.263875513,0.005762832,2.21729999,-0.001027014,0.399707719,2.47E-06
12,Bangladesh,1.64864004,-0.595229249,-2.289102804,0.000310972,0.106561469,0.089386577
13,Barbados,0.928515586,-0.150248897,0.403683986,0.175451503,0.789594196,1.74E-18
14,Belarus,0.050490494,0.004627428,0.949635923,-0.00026789,0.111301965,0.147290882
15,Belgium,-0.266233904,-0.027194565,0.068219944,0.000969387,0.432879335,0.009641232
16,Belgium-Luxembourg,0.126109293,-0.060576624,0.410032939,0.001661051,0.745052031,3.35E-10
17,Belize,0.756264913,0.014258235,0.139097661,-0.001285884,-0.004593548,0.450968008
18,Benin,0.052310877,-0.103381692,0.949431915,0.000521056,0.059663998,0.12955717
19,Bhutan,2.127420064,0.202569348,-0.445310948,-0.018488555,0.192401139,0.047414444
20,Bolivia (Plurinational State of),1.090535158,0.007676194,-2.342988297,-2.98E-05,0.026472558,0.256042312
21,Bosnia and Herzegovina,0.018259541,0.01827896,-1.470924151,0.002161036,0.166195401,0.078559371
22,Botswana,0.044476604,-0.03708738,0.009025248,0.001515826,0.122755395,0.025159231
23,Brazil,2.379725671,-0.09128447,0.587139229,4.56E-05,0.161491249,0.009344614
24,Brunei Darussalam,-0.458810228,0.496443707,0.166796542,-0.080174572,0.155668641,0.010205875
25,Bulgaria,0.474230979,0.003572988,1.608872198,-4.12E-05,0.406950607,1.42E-06
26,Burkina Faso,-0.640800185,0.012092125,1.25991218,-0.000112046,0.049495937,0.160831963
27,Burundi,0.51271379,0.083158429,0.742240672,-0.000373571,-0.05143674,0.6195538
50,Côte d'Ivoire,0.217256341,-0.041687399,1.184466679,0.000118483,0.085719464,0.072420876
28,Cabo Verde,0.311255112,-0.050604598,0.230168027,0.0066946,0.175703067,0.005733235
29,Cambodia,6.261658772,1.978004363,2.37911808,-0.008341086,0.453996358,0.001416029
30,Cameroon,-1.190175138,0.064543861,0.739948243,-0.000242252,-0.0211801,0.58567641
31,Canada,0.146944699,0.362700183,0.252356284,-0.001108238,0.059570954,0.120592757
32,Central African Republic,-0.581726602,-0.001758178,1.30774768,0.000150203,-0.035193482,0.607073903
33,Chad,-0.284315813,-0.000958668,0.201481229,6.27E-05,-0.070813135,0.756568759
34,Chile,-0.166785049,-0.632919844,0.396019451,0.003460879,0.146413274,0.015180024
35,China,1.130679652,-0.028174788,0.036813503,2.49E-06,0.523339138,4.77E-09
36,"China, Hong Kong SAR",0.286492873,0.020243597,0.384639537,-0.000398245,0.53325198,2.75E-09
37,"China, Macao SAR",-0.439127099,-0.06149676,0.926805699,0.005490025,0.301879832,0.000411267
39,"China, mainland",1.63856694,0.259146986,-0.119940157,-1.60E-05,0.248317203,0.00059464
38,"China, Taiwan Province of",0.782074364,-0.039462096,-0.266397918,-1.62E-05,0.717123005,4.73E-15
40,Colombia,-0.09369687,-0.965172862,0.596994129,0.001644513,0.06396847,0.127769434
41,Comoros,-0.396972558,-0.031967699,0.343146857,0.002760806,-0.178440331,0.994211462
42,Congo,-1.074810957,-0.027527942,0.08575901,0.000217407,-0.042785833,0.774698994
43,Cook Islands,1.246414871,-0.045592827,-2.749107028,0.294579693,0.422134067,0.029157055
44,Costa Rica,-0.432487337,0.158347578,-0.410581158,-0.002539232,-0.013695914,0.527960716
45,Croatia,0.31038452,-0.32451863,-0.762134084,-0.012552214,0.004127078,0.412553938
46,Cuba,0.692255548,0.055584042,0.322989572,-0.000689174,0.356819047,1.15E-05
47,Cyprus,-0.435633618,0.088635394,-0.163319818,-0.008053837,0.509503746,1.01E-08
48,Czechia,-0.121093757,-0.02213296,0.386471171,0.007517925,0.556021088,0.000113513
49,Czechoslovakia,1.197143151,-0.099111351,-0.086958289,0.001109818,0.601067042,9.59E-06
51,Democratic People's Republic of Korea,-0.019928884,-0.038698456,-0.007900137,9.85E-05,0.057133741,0.203130931
52,Democratic Republic of the Congo,0.514974058,-0.129570597,0.386617968,9.98E-05,0.64158553,2.56E-12
53,Denmark,-0.135777544,-0.119136594,-0.368711143,0.007620989,0.278804585,0.00021079
54,Djibouti,-3.71608522,0.518262814,2.590378339,-0.025839476,0.205252691,0.013306615
55,Dominica,-0.45055699,0.025889262,0.699352003,-0.141850067,-0.020214566,0.583646967
56,Dominican Republic,0.836581704,-0.19238726,0.821098825,0.001397213,0.369638734,1.06E-05
57,Ecuador,-0.823847438,2.489955322,-0.471443877,-0.010943788,0.206267073,0.01064493
58,Egypt,-0.264018877,0.148469871,1.068714492,-0.000100528,0.42290127,7.01E-07
59,El Salvador,0.219823788,-0.073002542,-0.4785699,0.001411494,0.218992247,0.001535833
60,Equatorial Guinea,1.615812448,9.97672072,-0.486897278,-0.191005147,0.64040975,0.225359595
61,Eritrea,-0.636460104,-0.097934627,0.070186043,0.000953577,0.201363585,0.098283509
62,Estonia,-0.433612814,0.029929359,-0.412146051,-0.002805927,0.316682271,0.009731969
63,Eswatini,0.487852258,-0.040768679,0.382424056,0.005444928,0.13634114,0.057139382
64,Ethiopia,-0.599779264,-0.355922031,1.232872904,0.000162618,0.088179119,0.195215545
65,Ethiopia PDR,0.699819267,0.845354462,-0.654116041,-0.000843733,0.123567136,0.121989382
66,Faroe Islands,-0.134850084,0.004806969,0.040222004,0.023480244,0.029607998,0.238085412
67,Fiji,3.407187556,0.031610957,1.611825772,-0.003422513,0.689830335,5.50E-14
68,Finland,1.298256336,-0.214575579,0.000835395,0.01479201,0.122444988,0.025367382
69,France,0.314321791,0.07737835,0.278490553,-0.00021965,0.084675986,0.066489606
70,French Polynesia,-1.079650825,-0.249971476,5.166655212,0.065510763,0.305553444,8.12E-05
71,Gabon,-0.054852739,-0.036370436,-0.302866467,0.000368113,0.068842773,0.097220758
72,Gambia,-3.056340492,-0.10760611,3.506932798,0.003138802,0.203327811,0.059888193
73,Georgia,0.400777236,-0.252681955,-0.054700226,-0.006323694,0.143607486,0.11655672
74,Germany,0.581003433,0.013783252,-0.150864869,-4.43E-05,0.083321944,0.068725041
75,Ghana,0.805102926,-0.040375732,1.633315246,0.000130173,0.159720692,0.011433719
76,Greece,0.369526424,0.023872407,0.610566547,-0.000402976,0.298765963,0.000103814
77,Grenada,-1.357952153,0.063163562,2.678500581,-0.153550038,0.192102763,0.004258259
78,Guatemala,0.311529864,0.121207806,-0.182520826,-0.000452166,0.073044911,0.08802339
79,Guinea,0.435513633,-0.027832716,0.318339445,0.000299825,0.045462775,0.242609792
80,Guinea-Bissau,1.533056139,0.036695446,0.20826695,-0.002026822,0.321129061,0.000326698
