,area,percentDiffFromAvg_y,year,percentPrevYearExp,pop,adj_r2,f_pvalue
0,Afghanistan,-1.0456144357690478,0.02924071027638156,-1.3718165050954676,-4.7973177691489794e-05,0.04631222380716471,0.16253451734708727
1,Albania,-0.8594781213331447,0.00212083428390949,-1.6267241989988612,0.0006897073703171396,0.11873393377292973,0.0279823250790832
2,Algeria,-0.651428446615474,0.1264277296137086,1.7132252400576968,-0.0002290431698364218,0.363036658925189,8.951883267668295e-06
3,Angola,-0.4932086423062252,-0.16459450331968276,1.1827062500285197,0.0003982237657459258,0.2814482501895418,0.00022374502428877257
4,Antigua and Barbuda,-0.6903632070806628,-0.05233417092784936,-3.9292002624941826,0.15829425682695872,-0.20324933328990058,0.6681575220467778
5,Argentina,5.373048537834519,-0.199073019392811,-1.1295856142009888,0.0004619610290306648,-0.06594554191611146,0.7875036739121506
6,Armenia,1.869340665867142,-0.04004080788130514,0.2186819237139915,-0.0013847460183492395,0.20443939592098903,0.048697043489769665
7,Australia,-32.80951204471938,-0.5481264010386315,-4.737455597559758,0.002582590228196497,0.2861463662749433,0.01158890062473552
8,Austria,-4.503597081053468,0.06093452883253228,-5.439980088937328,-0.00019980062897922838,0.24661951398696358,0.0006290239837886733
9,Azerbaijan,1.1782897294343235,0.4712250807749858,3.448634866691242,-0.004784503823988714,0.7546710479470266,7.831504744489709e-08
10,Bahamas,-20.055698257434685,-0.20527751368422267,9.375675823186192,0.05443911511160216,0.1210887359852788,0.24981050575110167
11,Bahrain,9.095817218400125,0.021229254447547568,-2.25392051963458,-0.0020463911110841916,0.2621736852243992,0.00037358335586163045
12,Bangladesh,2.13517084507653,-0.0543120122877805,0.27696420646069303,2.7994929420052313e-05,0.13503254062512748,0.018088453663696068
13,Barbados,1.599390751293096,-0.7660248787332007,-2.5484333899426246,0.97257527258048,0.45055667795753074,1.9584801791309718e-07
14,Belarus,-1.1124420376385744,0.06312529923602925,0.7832972546327085,0.0020847142838873256,0.22477566686923278,0.03724024879140928
15,Belgium,0.5321574796218109,-0.03432559352487817,0.34630140092144607,0.0005711549537006539,0.5496429559365452,0.0017368599896701868
16,Belgium-Luxembourg,0.4774404411717129,-0.0582440937363846,-1.0782961573028174,0.0027766380817616254,0.40057240291246576,0.00028265849009101966
17,Belize,-1.7275656024335655,0.011806942046705474,-0.7427562799875206,-0.00242799491560624,0.41628220954604,3.2560637888498967e-05
18,Benin,3.8019394932661568,-0.03311757834075609,1.3511571278202166,6.719115473347319e-05,0.29808601736718243,0.0003916985953833426
19,Bhutan,-0.897577243790802,-0.03990792309821379,-3.2057170428595896,0.004156320809219342,0.1341924257978423,0.030347490719031877
20,Bolivia (Plurinational State of),2.6601292742917475,0.1685636170713586,1.38563214733213,-0.001402101163705565,0.5040839371450556,1.3470112823083415e-08
21,Bosnia and Herzegovina,-1.0846237202318187,-0.004128366382729871,-5.709066842983504,0.00044794488088644233,0.389264569918811,0.002845283811508926
22,Botswana,-1.6646391064289623,-1.352160891296171,6.7243359925204205,0.03394765689023452,0.12810894906417858,0.052236710915910325
23,Brazil,0.751706123725208,-0.11105688662080523,0.32356236424437773,4.517945265389717e-05,0.09813165665877921,0.047596802157333494
24,Brunei Darussalam,-6.237563798588897,-0.09841600817428349,-2.38059683254122,0.010366619026299043,0.5068118551261804,9.575382442386113e-06
25,Bulgaria,-1.2999639153831997,-0.016479603338933432,0.3498605539640537,-0.00015730346356734388,0.017995325603602286,0.3010006530908783
26,Burkina Faso,-0.3855406514139162,-0.043095618331903326,-0.3038150935172341,0.00018502874454836925,0.14367655992947714,0.02606544937172979
27,Burundi,6.5746047081642836,-0.0843207835327646,1.2729509990366785,0.0007473391410798447,0.494886385724687,1.0252406895273396e-05
28,Cabo Verde,0.09639751910235124,0.029694082569301852,-0.8495075902702859,-0.005700828803862439,0.4751127008391126,4.290650341699562e-06
29,Cambodia,0.6969769492088953,-0.06638014156496032,-1.491256795416755,0.0003175553303381644,0.10538162539861773,0.11974006978745994
30,Cameroon,-0.19689770725480307,-0.045891094528144584,0.24833170076696856,0.00012426210429398852,-0.03088241011930326,0.6780123923657011
31,Canada,-1.647380033496375,-0.5987449204661577,-5.133464360421861,0.0018900861338118223,0.13362571882624663,0.08065495123499106
32,Central African Republic,-2.647093177144988,-0.10543095956508611,-2.3226143504939913,0.0009145453668294564,0.44489824300809133,0.004861474733149355
33,Chad,-0.6899354365549112,0.08547811132038,4.803422642962776,-0.0003155736861535657,0.08917298186735656,0.12789204750574137
34,Chile,1.8899809532767005,-0.3637757301867674,3.12089600472306,0.0019885070535500936,0.3124525632412123,6.299409810731735e-05
35,China,1.8876248836361975,0.01721679623116605,0.7448405561631496,-1.630819049063968e-06,0.17095372830261102,0.006585438564795651
36,"China, Hong Kong SAR",-0.23265467069272383,0.027602413789242445,0.8472553030377096,-0.0006003643403162448,0.6348723642414369,4.1950363359984816e-12
37,"China, Macao SAR",-1.6314422095380905,0.016843262242248816,-2.4760487999718386,-0.0018101994966843126,-0.047784904283702634,0.6804940357922085
38,"China, Taiwan Province of",-0.23376114297582032,-0.010778185838404829,0.05596611101232474,3.8751875729273517e-05,0.08669317413556521,0.06328110434532506
39,"China, mainland",2.143651273055759,0.03221978818148366,0.7864579298991563,-2.7200628300987476e-06,0.14990009203810195,0.012003131754299035
40,Colombia,0.2630652499579449,0.13187919423195055,-0.24178891545871165,-0.00022341618954854823,0.0699290604760513,0.09476459852034051
41,Comoros,-2.02906507263888e-06,0.0007162965768643257,-2.437273944014413e-06,-0.002892501106569129,,
