,year,jap_cpi,movAvg,diffFromAvg,percentDiffFromAvg
0,2000,91.543715,91.543715,0.0,0.0
1,2001,90.96524167,91.254478335,-0.2892366650000042,-0.003169561322110693
2,2002,89.953845,90.82093388999999,-0.8670888899999909,-0.009547236004533789
3,2003,89.8153375,90.24480805666667,-0.4294705566666721,-0.004758950303235154
4,2004,90.82913417,90.19943889000001,0.6296952799999929,0.006981144093012803
5,2005,89.64082917,90.09510028,-0.4542711099999934,-0.005042128912540164
6,2006,90.13061167,90.20019167,-0.06958000000000197,-0.0007713952566150016
7,2007,90.49856583,90.09000222333333,0.4085636066666751,0.004535060457139794
8,2008,93.15840417,91.26252722333334,1.895876946666661,0.020773881727241244
9,2009,93.20231917,92.28642972333334,0.9158894466666538,0.009924421709805118
10,2010,92.96769,93.10947111333333,-0.1417811133333231,-0.001522735674878299
11,2011,92.59031333,92.92010750000001,-0.32979417000001376,-0.0035492228633077477
12,2012,92.78598417,92.78132916666668,0.004655003333326135,5.017176812550479e-05
13,2013,92.61006083,92.66211944333332,-0.05205861333332962,-0.0005618111656205488
14,2014,96.57162167,93.98922222333333,2.5823994466666704,0.0274754848011241
15,2015,100.0,96.39389416666666,3.606105833333345,0.03741010636107644
16,2016,102.0893583,99.55365998999999,2.535698310000015,0.02547066888605323
17,2017,102.79415,101.62783610000001,1.1663138999999916,0.01147632326690848
18,2018,104.4741583,103.11922220000001,1.354936099999989,0.013139510472374267
19,2019,104.6661167,103.97814166666666,0.6879750333333448,0.006616535190048467
20,2020,105.965425,105.03523333333332,0.9301916666666727,0.00885599657511755
21,2021,105.9201833,105.51724166666666,0.40294163333334154,0.003818727887203978
22,2022,108.9972723,106.9609602,2.0363121000000035,0.01903790033478031
